Symptom,Disease,Advice,Medicine,Workout
Insomnia,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Rest for 2-3 days
Memory Loss,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Rest for 2-3 days
Low Blood Sugar,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Yoga & meditation
Swollen Lymph Nodes,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Cardio exercises
Memory Loss,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Physiotherapy
Slow Healing Wounds,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Eye exercises
Depression,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Massage therapy
Tingling Sensation,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Light stretching
Dark Urine,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Physiotherapy
High Blood Pressure,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Breathing exercises
Hair Loss,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Regular exercise
Sore Throat,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Dietary adjustments
Slow Healing Wounds,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Dietary adjustments
Numbness,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Breathing exercises
Swollen Lymph Nodes,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Strength training
Hair Loss,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Light stretching
Nosebleeds,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Yoga & meditation
Numbness,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Light stretching
Skin Itching,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Aerobic workouts
Depression,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Regular exercise
Cough,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Yoga & meditation
Brittle Nails,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Strength training
Back Pain,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Steam inhalation
Low Blood Sugar,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Light stretching
Knee Pain,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Yoga & meditation
Dizziness,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Regular exercise
Dizziness,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Muscle relaxation
Hair Loss,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Yoga & meditation
Cough,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Breathing exercises
Heart Palpitations,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Yoga & meditation
Brittle Nails,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Physiotherapy
Stomach Pain,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Aerobic workouts
Fatigue,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Light stretching
Vision Problems,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Cardio exercises
Fever,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Light stretching
Vomiting,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Massage therapy
Anxiety,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Eye exercises
Brittle Nails,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Eye exercises
Insomnia,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Aerobic workouts
Anxiety,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Physiotherapy
Heart Palpitations,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Light stretching
Hair Loss,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Cardio exercises
Sore Throat,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Rest for 2-3 days
Constipation,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Steam inhalation
Weight Gain,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Rest for 2-3 days
Anxiety,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Muscle relaxation
High Blood Pressure,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Light walking
Blurred Vision,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Cardio exercises
Sore Throat,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Physiotherapy
Dizziness,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Regular exercise
Lightheadedness,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Rest for 2-3 days
Runny Nose,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Physiotherapy
Eye Irritation,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Dietary adjustments
Rash,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Physiotherapy
Tingling Sensation,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Breathing exercises
Skin Itching,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Muscle relaxation
Brittle Nails,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Breathing exercises
Heart Palpitations,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Eye exercises
Nausea,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Dietary adjustments
Increased Thirst,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Muscle relaxation
Stomach Pain,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Steam inhalation
Knee Pain,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Rest for 2-3 days
Stomach Pain,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Muscle relaxation
Tingling Sensation,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Light stretching
Rash,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Cardio exercises
Lightheadedness,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Breathing exercises
Dizziness,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Strength training
Dizziness,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Steam inhalation
High Blood Pressure,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Dietary adjustments
Numbness,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Aerobic workouts
Diarrhea,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Physiotherapy
Lightheadedness,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Eye exercises
Numbness,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Cardio exercises
Skin Itching,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Muscle relaxation
Ear Pain,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Yoga & meditation
Eye Irritation,Migraine,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Muscle relaxation
Vomiting,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Strength training
Frequent Urination,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Physiotherapy
Knee Pain,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Light walking
Fatigue,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Strength training
Dry Skin,Conjunctivitis,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Light stretching
Fever,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Dietary adjustments
Lightheadedness,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Yoga & meditation
Night Sweats,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Aerobic workouts
Slow Healing Wounds,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Light stretching
Increased Thirst,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Paracetamol,Dietary adjustments
Blurred Vision,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Rest for 2-3 days
Back Pain,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Eye exercises
Numbness,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Regular exercise
Eye Irritation,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Light stretching
Joint Pain,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Aerobic workouts
Numbness,Asthma,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Physiotherapy
Night Sweats,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Salbutamol inhaler,Massage therapy
Fever,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Steam inhalation
Insomnia,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Yoga & meditation
Back Pain,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Light walking
Insomnia,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Breathing exercises
Increased Thirst,Stress,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Light walking
Nausea,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Rest for 2-3 days
Nosebleeds,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Physiotherapy
Blurred Vision,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Dietary adjustments
Heart Palpitations,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Steam inhalation
Frequent Urination,Gastroenteritis,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Cardio exercises
Insomnia,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Regular exercise
Memory Loss,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Muscle relaxation
Slow Healing Wounds,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Physiotherapy
Blurred Vision,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Muscle relaxation
Ear Pain,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Yoga & meditation
Swollen Lymph Nodes,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Eye exercises
Chest Pain,Pneumonia,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Regular exercise
Increased Thirst,Chronic Fatigue Syndrome,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Muscle relaxation
Tingling Sensation,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Light walking
Skin Itching,Indigestion,Follow doctor’s advice and maintain a healthy lifestyle.,Ibuprofen,Breathing exercises
Anxiety,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Massage therapy
Night Sweats,Otitis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Eye exercises
Vision Problems,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Steam inhalation
Diarrhea,Thyroid Disorder,Follow doctor’s advice and maintain a healthy lifestyle.,Angiotensin inhibitors,Aerobic workouts
Numbness,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Light walking
Muscle Cramps,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Melatonin,Light walking
Weakness,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Steam inhalation
Increased Thirst,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Eye exercises
Weakness,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Dietary adjustments
Swelling,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Dietary adjustments
Increased Thirst,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Breathing exercises
Anxiety,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Physiotherapy
Blurred Vision,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Breathing exercises
Numbness,Hypertension,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Regular exercise
Cough,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Light stretching
Fatigue,Tonsillitis,Follow doctor’s advice and maintain a healthy lifestyle.,Glucose tablets,Strength training
Fatigue,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Massage therapy
Cough,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Aerobic workouts
Low Blood Sugar,Allergy,Follow doctor’s advice and maintain a healthy lifestyle.,Antibiotics,Yoga & meditation
Numbness,Heart Problem,Follow doctor’s advice and maintain a healthy lifestyle.,Calcium supplements,Muscle relaxation
Heart Palpitations,Hormonal Imbalance,Follow doctor’s advice and maintain a healthy lifestyle.,Antacids,Steam inhalation
Joint Pain,Food Poisoning,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Cardio exercises
Knee Pain,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Cholinesterase inhibitors,Breathing exercises
Headache,Kidney Disease,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Rest for 2-3 days
Memory Loss,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Muscle relaxation
Memory Loss,Vitamin Deficiency,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Yoga & meditation
Rash,Nerve Damage,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Regular exercise
Night Sweats,Bronchitis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Cardio exercises
Tingling Sensation,Cold,Follow doctor’s advice and maintain a healthy lifestyle.,Activated charcoal,Light stretching
Runny Nose,Arthritis,Follow doctor’s advice and maintain a healthy lifestyle.,ORS solution,Steam inhalation
Slow Healing Wounds,Flu,Follow doctor’s advice and maintain a healthy lifestyle.,Decongestants,Yoga & meditation
Frequent Urination,Eczema,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Cardio exercises
Weight Loss,Diabetes,Follow doctor’s advice and maintain a healthy lifestyle.,Salt tablets,Dietary adjustments
Ear Pain,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Rest for 2-3 days
Weight Gain,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Diuretics,Aerobic workouts
Hair Loss,Urinary Infection,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Steam inhalation
Frequent Urination,Hypoglycemia,Follow doctor’s advice and maintain a healthy lifestyle.,Vitamin B12 supplements,Light walking
Vision Problems,Alzheimer’s,Follow doctor’s advice and maintain a healthy lifestyle.,Beta-blockers,Dietary adjustments
Weight Loss,Osteoarthritis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Massage therapy
Ear Pain,Muscle Strain,Follow doctor’s advice and maintain a healthy lifestyle.,Iron supplements,Massage therapy
Ear Pain,Low Blood Pressure,Follow doctor’s advice and maintain a healthy lifestyle.,Hydrocortisone cream,Strength training
Lightheadedness,Sinusitis,Follow doctor’s advice and maintain a healthy lifestyle.,Laxatives,Eye exercises
Blurred Vision,Anemia,Follow doctor’s advice and maintain a healthy lifestyle.,Corticosteroid creams,Aerobic workouts
